empresa,market_cap,enterprise_value,price_to_book,price_to_sales,PEG,EV_revenue,EV_EBITDA,ROA,ROE,one_year_return,revenue_TTM,free_cash_flow_TTM,gross_margin,operating_margin,pretax_margin,net_margin,fcf_margin,P_CF,P_FCF,price_to_cash,ROIC
AGIL.MC,45390140.000000,78066392.000000,1.076672,0.536788,,0.923000,34.201000,0.002510,-0.024430,-0.290780,,,,,,,,,,3.854421,
ALQ.MC,66126112.000000,309246112.000000,1.408611,0.431483,,2.018000,3.565000,0.042060,0.136250,0.078947,,,,,,,,,,17.520932,
ALC.MC,480508832.000000,476249280.000000,5.663431,1.878601,,1.862000,20.741000,0.084060,0.195080,0.458333,,,,,,,,,,18.129903,
AXON.MC,,,,,,,,,,,,,,,,,,,,,
BIOT.MC,,,,,,,,,,,,,,,,,,,,,
CLR.MC,123889040.000000,107644960.000000,13.056604,7.935259,,6.895000,18.789000,0.045320,-0.042760,0.668367,,,,,,,,,,89.890156,
DOMO.MC,13543736.000000,,0.603662,541.749450,,,,-0.022040,-0.024980,0.000000,,,,,,,,,,1.769414,
EIDF.MC,49514456.000000,93284440.000000,-7.978724,0.506373,,0.954000,-10.196000,-0.061090,-2.955130,-0.851215,,,,,,,,,,8.041544,
END.MC,38714440.000000,,,,,,,,,1.500000,,,,,,,,,,65.534646,
EST.MC,,,,,,,,,,,,,,,,,,,,,
ENERS.MC,,,,,,,,,,,,,,,,,,,,,
FACE.MC,63544860.000000,71758056.000000,3.827751,1.848106,,2.087000,-12.793000,-0.055070,-0.478790,0.012658,,,,,,,,,,11.517870,
GIGA.MC,42785492.000000,101401376.000000,1.157752,0.538636,,1.277000,6.971000,0.022170,-0.004540,-0.476923,,,,,,,,,,2.259701,
HLZ.MC,26813292.000000,53774384.000000,-0.738934,0.135446,,0.272000,-1.718000,-0.154120,,-0.498433,,,,,,,,,,12.140248,
IZER.MC,294814368.000000,304948128.000000,2.732171,2.002189,,2.071000,16.737000,0.031990,0.068710,-0.069264,,,,,,,,,,9.087709,
KOMP.MC,,,,,,,,,,,,,,,,,,,,,
LAB.MC,35623936.000000,64538240.000000,7.411945,0.497025,,0.900000,6.877000,0.074280,0.231090,0.555556,,,,,,,,,,5.287008,
LLN.MC,18710242.000000,23423404.000000,3.586626,0.905537,,1.134000,12.303000,0.068010,0.346750,0.026549,,,,,,,,,,19.050533,
LLYC.MC,76821160.000000,88397744.000000,1.977824,0.801329,,0.922000,5.572000,0.100140,0.214410,-0.211765,,,,,,,,,,7.196235,
MAKS.MC,74555304.000000,64740524.000000,2.873563,0.236730,,0.206000,325.452000,0.005890,-0.120520,-0.045977,,,,,,,,,,3.762660,
NBI.MC,37694824.000000,72219776.000000,2.134603,0.744569,,1.427000,10.595000,,,-0.144385,,,,,,,,,,3.618061,
PAR.MC,42910032.000000,60204400.000000,26.341463,0.848247,,1.190000,19.940000,0.005150,-1.180700,-0.359756,,,,,,,,,,18.220449,
SNG.MC,103904528.000000,121302640.000000,2.132753,0.898368,,1.049000,12.474000,0.068650,0.103910,-0.020000,,,,,,,,,,16.132893,
SCO.MC,55073224.000000,,,,,,,,,0.220000,,,,,,,,,,10.617434,
480S.MC,39036044.000000,,,,,,,,,0.000000,,,,,,,,,,10.938878,
VYT.MC,85775424.000000,47398300.000000,11.764706,14.083783,,7.783000,40.269000,0.060220,0.162260,3.060150,,,,,,,,,,33.923197,
