empresa,market_cap,enterprise_value,price_to_book,price_to_sales,PEG,EV_revenue,EV_EBITDA,ROA,ROE,one_year_return,revenue_TTM,free_cash_flow_TTM,gross_margin,operating_margin,pretax_margin,net_margin,fcf_margin,P_CF,P_FCF,price_to_cash,ROIC
ANA.MC,11707687936.000000,21046093824.000000,2.487810,0.544797,,0.979000,11.077000,0.019760,0.178340,0.821248,,,,,,,,,,2.169698,
ANE.MC,6668086272.000000,11703017472.000000,1.143620,1.624381,,2.851000,7.902000,0.039600,0.111430,0.164786,,,,,,,,,,15.652785,
ACX.MC,3101644800.000000,4359297024.000000,1.502778,0.536157,,0.754000,12.794000,0.016100,-0.023210,0.145471,7195513000.000000,,0.131594,0.005198,0.018873,-0.002095,,6.799929,,3.197935,0.008857
ACS.MC,27744391168.000000,30417088512.000000,5.744646,0.556477,,0.610000,14.412000,0.020780,0.234940,0.985171,62492355000.000000,1256598000.000000,0.128872,0.011496,0.032933,0.018487,0.020108,15.285753,22.078971,2.292946,0.038304
AENA.MC,37949997056.000000,43247632384.000000,4.121864,6.019462,,6.860000,11.814000,0.103340,0.247580,0.200283,9342895000.000000,1098001000.000000,0.736546,0.478435,0.464409,0.349170,0.117523,17.770064,34.562807,18.533267,0.309796
AMS.MC,23061272576.000000,25345964032.000000,4.763849,3.538633,,3.889000,10.356000,0.097350,0.269420,-0.207742,6516900000.000000,1700800000.000000,0.440025,0.270082,0.263653,0.204959,0.260983,9.745710,13.559074,23.638041,0.217907
MTS.MC,37233012736.000000,47718060032.000000,0.794089,0.606875,,0.778000,10.914000,0.011140,0.060150,0.744531,61352000000.000000,471000000.000000,,-0.006471,0.058710,0.051376,0.007677,7.743971,79.050982,6.905232,-0.005849
SAN.MC,143138308096.000000,125555564544.000000,1.401480,3.056160,,2.681000,,0.007540,0.126850,0.668111,59539000000.000000,,,,0.322125,0.236836,,,,0.798335,
SAB.MC,15709452288.000000,40694104064.000000,1.118938,3.561808,,9.227000,,0.005750,0.095770,0.173751,6211489000.000000,,,,0.418660,0.285806,,,,1.214482,
BKT.MC,12289671168.000000,28759597056.000000,1.916877,4.509973,,10.554000,,0.008620,0.177390,0.360298,3109341000.000000,,,,0.461476,0.335146,,,,0.819292,
BBVA.MC,106604650496.000000,117331066880.000000,1.862969,3.368448,,3.707000,,0.013630,0.182680,0.482718,37607000000.000000,-7482000000.000000,,,0.431462,0.279496,-0.198952,-19.132206,-14.248149,1.525386,
CABK.MC,71311032320.000000,136913240064.000000,1.856233,4.644157,,8.917000,,0.009110,0.156490,0.470419,16605000000.000000,,,,0.524601,0.360434,,,,1.556058,
CLNX.MC,19862145024.000000,41501888512.000000,1.639508,4.820608,,10.073000,16.473000,0.007900,-0.024620,-0.068770,4182422000.000000,,0.433242,0.107470,-0.107935,-0.086270,,,,13.303700,0.013218
COL.MC,3231133440.000000,9202629632.000000,0.550164,7.602059,,21.652000,28.267000,0.016180,0.057490,-0.005687,408400000.000000,,,0.779214,0.887302,0.843411,,,,21.718547,0.028930
ENG.MC,3797762304.000000,6286263296.000000,1.650847,3.954350,,6.545000,13.403000,0.020650,0.144290,0.150196,1428028000.000000,,,0.365325,0.224875,0.208413,,10.066084,,5.223386,0.101814
