empresa,market_cap,enterprise_value,price_to_book,price_to_sales,PEG,EV_revenue,EV_EBITDA,ROA,ROE,one_year_return,revenue_TTM,free_cash_flow_TTM,gross_margin,operating_margin,pretax_margin,net_margin,fcf_margin,P_CF,P_FCF,price_to_cash,ROIC
AEDAS.MC,969603520.000000,1379843072.000000,1.125888,0.809793,,1.152000,7.986000,0.051220,0.165010,-0.196552,,,,,,,,,,3.347940,
AIR.MC,140325011456.000000,134611189760.000000,5.358424,1.911264,,1.833000,16.939000,0.027140,0.216220,0.079154,73420000000.000000,4031000000.000000,0.149373,0.071316,0.086489,0.071111,0.054903,17.551596,34.811464,9.932405,0.141029
ALNT.MC,334925280.000000,300326912.000000,1.189732,1.611977,,1.445000,,0.053840,0.073020,-0.015695,213175000.000000,,0.339815,0.068273,0.075248,0.044433,,,,3.222449,0.046141
AMP.MC,460300448.000000,,4.112821,1.546199,,,,0.025720,0.041930,0.201192,,,,,,,,,,3.564628,
ATRY.MC,220913056.000000,442184032.000000,0.914232,0.976459,,1.954000,27.701000,0.004520,-0.095250,-0.158385,,,,,,,,,,10.847683,
ADX.MC,562258944.000000,910703104.000000,2.640000,0.286055,,0.463000,8.740000,0.043050,0.168410,-0.150000,1099044000.000000,,0.099419,0.039060,0.033361,0.024399,,,,2.058313,0.054014
AZK.MC,217493504.000000,206025488.000000,1.632803,1.030443,,0.976000,5.467000,0.085370,0.134480,0.168000,,,,,,,,,,11.072316,
BKY.MC,140186832.000000,57024436.000000,2.625748,46.358078,,18.857000,,-0.046820,-0.065350,0.162698,,,,,,,,,,1.904868,
CBAV.MC,832747008.000000,818014976.000000,7.573551,2.731142,,2.683000,9.677000,0.165070,0.410240,0.435159,301782000.000000,46474000.000000,,0.200936,0.199184,0.139382,0.153999,10.887574,17.918557,148.970842,0.514256
OLE.MC,114000000.000000,428454016.000000,0.548077,0.123330,,0.464000,-15.729000,-0.027210,-0.120740,0.141361,,,,,,,,,,3.637060,
ECO.MC,38428920.000000,,-5.853659,,,,,,,,,,,,,,,,,28.889276,
EDR.MC,337663680.000000,678661376.000000,1.410428,0.493632,,0.992000,5.644000,0.064450,0.331890,-0.619824,684039000.000000,117083000.000000,0.502580,0.166145,0.134446,0.118794,0.171164,1.902181,2.883968,4.391973,0.180517
ENC.MC,574058496.000000,1130883328.000000,1.161354,0.732669,,1.443000,124.423000,-0.028300,-0.067460,-0.285981,768654000.000000,-56341000.000000,0.494649,0.085751,-0.098981,-0.063190,-0.073298,15.074670,-10.189001,2.523878,0.063594
ECR.MC,291224288.000000,421452576.000000,1.013686,0.463224,,0.670000,-20.868000,-0.041260,-0.170540,0.110345,626815000.000000,,0.512095,-0.044895,-0.064242,-0.085488,,,,3.032670,-0.055146
EZE.MC,48354956.000000,61164760.000000,16.480001,1.408944,,1.782000,70.224000,-0.003310,-3.089530,-0.365116,,,,,,,,,,15.429150,
DOM.MC,461947168.000000,728740160.000000,1.794872,0.441997,,0.697000,6.471000,0.026420,0.067380,0.078431,,,,,,,,,,2.393062,
GSJ.MC,557273536.000000,141685008.000000,2.467607,0.357640,,0.091000,2.254000,0.026990,0.146110,0.529412,1980084000.000000,,0.274753,0.041025,0.036928,0.025570,,,,0.896532,0.305372
GAM.MC,135289584.000000,,1.280215,,,,,,,,,,,,,,,,,4.044169,
IZER.MC,294814368.000000,304948128.000000,2.732171,2.002189,,2.071000,16.737000,0.031990,0.068710,-0.069264,,,,,,,,,,9.087709,
RJF.MC,201044256.000000,274623008.000000,0.921986,0.597139,,0.816000,12.026000,0.009630,0.023010,-0.062257,405696000.000000,,0.606915,0.024200,0.017730,0.013234,,,,19.147072,0.031714
NEXT.MC,,,,,,,,,,,,,,,,,,,,,
NEA.MC,117915072.000000,116169016.000000,1.362168,0.987613,,0.973000,6.609000,0.070890,0.160060,0.051502,,,,,,,,,,4.478354,
OHLA.MC,603438592.000000,462169472.000000,0.987557,0.174649,,0.134000,2.253000,0.022720,0.020460,-0.153661,4502374000.000000,,0.196740,0.023702,0.002284,-0.013629,,14.655461,,0.933939,0.102270
ORY.MC,231828176.000000,204877584.000000,1.934211,21.201647,,18.737000,-36.606000,-0.028070,-0.025290,-0.041379,0.000000,,,,,,,,,8.176229,-0.080056
PRM.MC,226336000.000000,220586160.000000,1.705347,0.940411,,0.917000,8.732000,0.054890,0.112130,0.311728,,,,,,,,,,23.495739,
PSG.MC,1464825984.000000,2186588416.000000,0.627138,0.293175,,0.438000,4.715000,0.045060,0.154270,0.332512,5049246000.000000,274615000.000000,,,0.048776,0.023374,0.054387,2.977712,5.334108,1.241012,
CASH.MC,912685120.000000,1575259776.000000,5.200000,0.459252,,0.793000,5.392000,0.049290,0.388690,-0.080357,2470434000.000000,116198000.000000,0.350534,0.040344,0.081966,0.043923,0.047035,4.352005,7.854568,0.895017,0.055404
TLGO.MC,372441440.000000,,3.184931,0.586153,,,,-0.017550,-0.492980,-0.166417,,,,,,,,,,1.647147,
TRG.MC,48047404.000000,293210400.000000,9.857142,0.134555,,0.821000,212.471000,-0.021230,-1.712460,-0.531097,,,,,,,,,,1.036264,
VOC.MC,83090656.000000,149774000.000000,0.716511,0.248605,,0.448000,10.675000,-0.015570,-0.022370,-0.041096,334023000.000000,-6175000.000000,0.915413,-0.015798,-0.006664,0.019948,-0.018487,15.917750,-13.455977,3.380830,-0.036666
